1,1
GPU activities:  100.00%  2.33128s         1  2.33128s  2.33128s  2.33128s  addVectorsInto(float*, float*, float*, int)

1,16
GPU activities:  100.00%  473.18ms         1  473.18ms  473.18ms  473.18ms  addVectorsInto(float*, float*, float*, int)	

1,32
GPU activities:  100.00%  305.68ms         1  305.68ms  305.68ms  305.68ms  addVectorsInto(float*, float*, float*, int)

1, 64
GPU activities:  100.00%  243.20ms         1  243.20ms  243.20ms  243.20ms  addVectorsInto(float*, float*, float*, int)

1, 128
GPU activities:  100.00%  164.60ms         1  164.60ms  164.60ms  164.60ms  addVectorsInto(float*, float*, float*, int)

1, 256
GPU activities:  100.00%  130.42ms         1  130.42ms  130.42ms  130.42ms  addVectorsInto(float*, float*, float*, int)
 
1, 512
GPU activities:  100.00%  125.55ms         1  125.55ms  125.55ms  125.55ms  addVectorsInto(float*, float*, float*, int)


16,1
GPU activities:  100.00%  506.11ms         1  506.11ms  506.11ms  506.11ms  addVectorsInto(float*, float*, float*, int)

32, 1
GPU activities:  100.00%  332.47ms         1  332.47ms  332.47ms  332.47ms  addVectorsInto(float*, float*, float*, int)

64, 1
GPU activities:  100.00%  278.12ms         1  278.12ms  278.12ms  278.12ms  addVectorsInto(float*, float*, float*, int)

128, 1
GPU activities:  100.00%  214.21ms         1  214.21ms  214.21ms  214.21ms  addVectorsInto(float*, float*, float*, int)

256, 1
GPU activities:  100.00%  176.61ms         1  176.61ms  176.61ms  176.61ms  addVectorsInto(float*, float*, float*, int)


1,32	305.68ms
32, 1	332.47ms
2, 16	300.19ms
16, 2	308.26ms
4, 8	302.15ms
8, 4	300.23ms


1, 64	243.20ms
2, 32	212.60ms
4, 16	211.22ms
8, 8	206.80ms
16, 4	211.67ms
32, 2	217.53ms
64, 1	278.12ms


1, 256	137.12ms
2, 128	131.30ms
4, 64	136.30ms
8, 32	142.45ms
16, 16	141.10ms
32, 8	164.56ms
64, 4	166.22ms
128, 2	174.82ms
256, 1	176.61ms
